Date,Time,Mist.net,Family,Genus,Species,Sex,Weight.specimen.&.bag,Weight.bag,Forearm,Age,Reproductive.state,Deposit.code,Site.Category,Site.Code,Habitat,Guild
05/20/14,18:00,B1,Phyllostomidae,Carollia,Carollia.brevicauda,male,34,18,44.3,adult,N/A,N/A,F,F1,matrix,Highly.cluttered.space.gleaning.shrub.frugivores
05/20/14,18:00,B2,Phyllostomidae,Rhinophylla ,Rhinophylla.pumilio,female,25,16,34,adult,N/A,N/A,F,F1,matrix,Highly.cluttered.space.gleaning.shrub.frugivores
05/20/14,18:00,Q2,Phyllostomidae,Carollia,Carollia.perspicillata,male,32,15,40.8,adult,N/A,N/A,F,F1,stream,Highly.cluttered.space.gleaning.shrub.frugivores
05/20/14,18:00,Q2,Phyllostomidae,Rhinophylla ,Rhinophylla.pumilio,female,25,16,34.3,adult,N/A,N/A,F,F1,stream,Highly.cluttered.space.gleaning.shrub.frugivores
05/20/14,18:00,S2,Phyllostomidae,Rhinophylla ,Rhinophylla.pumilio,female,31,21,36.1,adult,N/A,N/A,F,F1,edge,Highly.cluttered.space.gleaning.shrub.frugivores
05/20/14,18:30,S1,Phyllostomidae,Artibeus,Artibeus.lituratus,male,N/A,N/A,74.7,adult,N/A,N/A,F,F1,edge,Highly.cluttered.space.canopy.frugivores
05/20/14,18:30,B1,Phyllostomidae,Carollia,Carollia.perspicillata,male,30,12,41.6,adult,N/A,N/A,F,F1,matrix,Highly.cluttered.space.gleaning.shrub.frugivores
05/20/14,19:00,B2,Phyllostomidae,Desmodus,Desmodus.rotundus,N/A,N/A,N/A,N/A,adult,N/A,N/A,F,F1,matrix,Highly.cluttered.space.gleaning.sanguivores
05/20/14,19:30,S2,Phyllostomidae,Artibeus,Artibeus.obscurus,female,56,18,59.4,adult,N/A,N/A,F,F1,edge,Highly.cluttered.space.canopy.frugivores
05/20/14,20:00,B2,Phyllostomidae,Rhinophylla ,Rhinophylla.pumilio,female,21,11,34.7,adult,N/A,N/A,F,F1,matrix,Highly.cluttered.space.gleaning.shrub.frugivores
05/20/14,20:30,S2,Phyllostomidae,Rhinophylla ,Rhinophylla.pumilio,male,28,18,34,adult,N/A,N/A,F,F1,edge,Highly.cluttered.space.gleaning.shrub.frugivores
